Version,MAE,RMSE,EV,Est_LB
v2,0.1794328982904076,0.2350326826756552,0.0303032553136137,0.3857664581574527
v3,0.179665836006712,0.2352541220204459,0.0284728902652594,0.3874466783577035
v5,0.17989475836904378,0.2354793514718419,0.02690104018626166,0.3884604440497519
v11,0.17984233110796696,0.23538859823051173,0.02736953801819178,0.3876409356870516
v12,0.18022029698217867,0.23550426055759646,0.02666158376969202,0.38190532887554385
v13,0.1797761445042238,0.23530326374438318,0.028078549542514864,0.3864431107875097
v14,0.1794430605186716,0.23505991234803894,0.030087602966334635,0.3863671904470438
v15,0.1824079890254003,0.23735887622823784,0.01102284751411656,0.39149864612769036
v17,0.17898952612607516,0.2347716667189335,0.0325770594538102,0.3872940476965776
v18,0.1788481700085051,0.2346519407164031,0.033883210016810196,0.3857790342828138
v19,0.17892215911771484,0.23468807082041215,0.03335686271624245,0.3859201943623658
v20,0.17880076182030674,0.23452381483056586,0.03464269571167854,0.3837163870449327
v21,0.17884099126743097,0.2345872825430181,0.03414207045978812,0.38473212100461485
v22,0.1787077647503419,0.2344868780687269,0.0349809647332792,0.384574492271442
v23,0.1787988090108395,0.23449268530176132,0.0347516569518556,0.3832254403496034
v24,0.1786128699092869,0.2344062395470839,0.0354632035911637,0.3847513393041355
